Data,Num Mês,Nome do Mês,Dia,Nome do Dia,Ano,Nome do Mês  - Abrev
1-Jan-22,1,janeiro,1,sábado,2022,Jan
2-Jan-22,1,janeiro,2,domingo,2022,Jan
3-Jan-22,1,janeiro,3,segunda-feira,2022,Jan
4-Jan-22,1,janeiro,4,terça-feira,2022,Jan
5-Jan-22,1,janeiro,5,quarta-feira,2022,Jan
6-Jan-22,1,janeiro,6,quinta-feira,2022,Jan
7-Jan-22,1,janeiro,7,sexta-feira,2022,Jan
8-Jan-22,1,janeiro,8,sábado,2022,Jan
9-Jan-22,1,janeiro,9,domingo,2022,Jan
10-Jan-22,1,janeiro,10,segunda-feira,2022,Jan
11-Jan-22,1,janeiro,11,terça-feira,2022,Jan
12-Jan-22,1,janeiro,12,quarta-feira,2022,Jan
13-Jan-22,1,janeiro,13,quinta-feira,2022,Jan
14-Jan-22,1,janeiro,14,sexta-feira,2022,Jan
15-Jan-22,1,janeiro,15,sábado,2022,Jan
16-Jan-22,1,janeiro,16,domingo,2022,Jan
17-Jan-22,1,janeiro,17,segunda-feira,2022,Jan
18-Jan-22,1,janeiro,18,terça-feira,2022,Jan
19-Jan-22,1,janeiro,19,quarta-feira,2022,Jan
20-Jan-22,1,janeiro,20,quinta-feira,2022,Jan
21-Jan-22,1,janeiro,21,sexta-feira,2022,Jan
22-Jan-22,1,janeiro,22,sábado,2022,Jan
23-Jan-22,1,janeiro,23,domingo,2022,Jan
24-Jan-22,1,janeiro,24,segunda-feira,2022,Jan
25-Jan-22,1,janeiro,25,terça-feira,2022,Jan
26-Jan-22,1,janeiro,26,quarta-feira,2022,Jan
27-Jan-22,1,janeiro,27,quinta-feira,2022,Jan
28-Jan-22,1,janeiro,28,sexta-feira,2022,Jan
29-Jan-22,1,janeiro,29,sábado,2022,Jan
30-Jan-22,1,janeiro,30,domingo,2022,Jan
31-Jan-22,1,janeiro,31,segunda-feira,2022,Jan
1-Feb-22,2,fevereiro,1,terça-feira,2022,Fev
2-Feb-22,2,fevereiro,2,quarta-feira,2022,Fev
3-Feb-22,2,fevereiro,3,quinta-feira,2022,Fev
4-Feb-22,2,fevereiro,4,sexta-feira,2022,Fev
5-Feb-22,2,fevereiro,5,sábado,2022,Fev
6-Feb-22,2,fevereiro,6,domingo,2022,Fev
7-Feb-22,2,fevereiro,7,segunda-feira,2022,Fev
8-Feb-22,2,fevereiro,8,terça-feira,2022,Fev
9-Feb-22,2,fevereiro,9,quarta-feira,2022,Fev
10-Feb-22,2,fevereiro,10,quinta-feira,2022,Fev
11-Feb-22,2,fevereiro,11,sexta-feira,2022,Fev
12-Feb-22,2,fevereiro,12,sábado,2022,Fev
13-Feb-22,2,fevereiro,13,domingo,2022,Fev
14-Feb-22,2,fevereiro,14,segunda-feira,2022,Fev
15-Feb-22,2,fevereiro,15,terça-feira,2022,Fev
16-Feb-22,2,fevereiro,16,quarta-feira,2022,Fev
17-Feb-22,2,fevereiro,17,quinta-feira,2022,Fev
18-Feb-22,2,fevereiro,18,sexta-feira,2022,Fev
19-Feb-22,2,fevereiro,19,sábado,2022,Fev
20-Feb-22,2,fevereiro,20,domingo,2022,Fev
21-Feb-22,2,fevereiro,21,segunda-feira,2022,Fev
22-Feb-22,2,fevereiro,22,terça-feira,2022,Fev
23-Feb-22,2,fevereiro,23,quarta-feira,2022,Fev
24-Feb-22,2,fevereiro,24,quinta-feira,2022,Fev
25-Feb-22,2,fevereiro,25,sexta-feira,2022,Fev
26-Feb-22,2,fevereiro,26,sábado,2022,Fev
27-Feb-22,2,fevereiro,27,domingo,2022,Fev
28-Feb-22,2,fevereiro,28,segunda-feira,2022,Fev
1-Mar-22,3,março,1,terça-feira,2022,Mar
2-Mar-22,3,março,2,quarta-feira,2022,Mar
3-Mar-22,3,março,3,quinta-feira,2022,Mar
4-Mar-22,3,março,4,sexta-feira,2022,Mar
5-Mar-22,3,março,5,sábado,2022,Mar
6-Mar-22,3,março,6,domingo,2022,Mar
7-Mar-22,3,março,7,segunda-feira,2022,Mar
8-Mar-22,3,março,8,terça-feira,2022,Mar
9-Mar-22,3,março,9,quarta-feira,2022,Mar
10-Mar-22,3,março,10,quinta-feira,2022,Mar
11-Mar-22,3,março,11,sexta-feira,2022,Mar
12-Mar-22,3,março,12,sábado,2022,Mar
13-Mar-22,3,março,13,domingo,2022,Mar
14-Mar-22,3,março,14,segunda-feira,2022,Mar
15-Mar-22,3,março,15,terça-feira,2022,Mar
16-Mar-22,3,março,16,quarta-feira,2022,Mar
17-Mar-22,3,março,17,quinta-feira,2022,Mar
18-Mar-22,3,março,18,sexta-feira,2022,Mar
19-Mar-22,3,março,19,sábado,2022,Mar
20-Mar-22,3,março,20,domingo,2022,Mar
21-Mar-22,3,março,21,segunda-feira,2022,Mar
22-Mar-22,3,março,22,terça-feira,2022,Mar
23-Mar-22,3,março,23,quarta-feira,2022,Mar
24-Mar-22,3,março,24,quinta-feira,2022,Mar
25-Mar-22,3,março,25,sexta-feira,2022,Mar
26-Mar-22,3,março,26,sábado,2022,Mar
27-Mar-22,3,março,27,domingo,2022,Mar
28-Mar-22,3,março,28,segunda-feira,2022,Mar
29-Mar-22,3,março,29,terça-feira,2022,Mar
30-Mar-22,3,março,30,quarta-feira,2022,Mar
31-Mar-22,3,março,31,quinta-feira,2022,Mar
1-Apr-22,4,abril,1,sexta-feira,2022,Abr
2-Apr-22,4,abril,2,sábado,2022,Abr
3-Apr-22,4,abril,3,domingo,2022,Abr
4-Apr-22,4,abril,4,segunda-feira,2022,Abr
5-Apr-22,4,abril,5,terça-feira,2022,Abr
6-Apr-22,4,abril,6,quarta-feira,2022,Abr
7-Apr-22,4,abril,7,quinta-feira,2022,Abr
8-Apr-22,4,abril,8,sexta-feira,2022,Abr
9-Apr-22,4,abril,9,sábado,2022,Abr
10-Apr-22,4,abril,10,domingo,2022,Abr
11-Apr-22,4,abril,11,segunda-feira,2022,Abr
12-Apr-22,4,abril,12,terça-feira,2022,Abr
13-Apr-22,4,abril,13,quarta-feira,2022,Abr
14-Apr-22,4,abril,14,quinta-feira,2022,Abr
15-Apr-22,4,abril,15,sexta-feira,2022,Abr
16-Apr-22,4,abril,16,sábado,2022,Abr
17-Apr-22,4,abril,17,domingo,2022,Abr
18-Apr-22,4,abril,18,segunda-feira,2022,Abr
19-Apr-22,4,abril,19,terça-feira,2022,Abr
20-Apr-22,4,abril,20,quarta-feira,2022,Abr
21-Apr-22,4,abril,21,quinta-feira,2022,Abr
22-Apr-22,4,abril,22,sexta-feira,2022,Abr
23-Apr-22,4,abril,23,sábado,2022,Abr
24-Apr-22,4,abril,24,domingo,2022,Abr
25-Apr-22,4,abril,25,segunda-feira,2022,Abr
26-Apr-22,4,abril,26,terça-feira,2022,Abr
27-Apr-22,4,abril,27,quarta-feira,2022,Abr
28-Apr-22,4,abril,28,quinta-feira,2022,Abr
29-Apr-22,4,abril,29,sexta-feira,2022,Abr
30-Apr-22,4,abril,30,sábado,2022,Abr
1-May-22,5,maio,1,domingo,2022,Mai
2-May-22,5,maio,2,segunda-feira,2022,Mai
3-May-22,5,maio,3,terça-feira,2022,Mai
4-May-22,5,maio,4,quarta-feira,2022,Mai
5-May-22,5,maio,5,quinta-feira,2022,Mai
6-May-22,5,maio,6,sexta-feira,2022,Mai
7-May-22,5,maio,7,sábado,2022,Mai
8-May-22,5,maio,8,domingo,2022,Mai
9-May-22,5,maio,9,segunda-feira,2022,Mai
10-May-22,5,maio,10,terça-feira,2022,Mai
11-May-22,5,maio,11,quarta-feira,2022,Mai
12-May-22,5,maio,12,quinta-feira,2022,Mai
13-May-22,5,maio,13,sexta-feira,2022,Mai
14-May-22,5,maio,14,sábado,2022,Mai
15-May-22,5,maio,15,domingo,2022,Mai
16-May-22,5,maio,16,segunda-feira,2022,Mai
17-May-22,5,maio,17,terça-feira,2022,Mai
18-May-22,5,maio,18,quarta-feira,2022,Mai
19-May-22,5,maio,19,quinta-feira,2022,Mai
20-May-22,5,maio,20,sexta-feira,2022,Mai
21-May-22,5,maio,21,sábado,2022,Mai
22-May-22,5,maio,22,domingo,2022,Mai
23-May-22,5,maio,23,segunda-feira,2022,Mai
24-May-22,5,maio,24,terça-feira,2022,Mai
25-May-22,5,maio,25,quarta-feira,2022,Mai
26-May-22,5,maio,26,quinta-feira,2022,Mai
27-May-22,5,maio,27,sexta-feira,2022,Mai
28-May-22,5,maio,28,sábado,2022,Mai
29-May-22,5,maio,29,domingo,2022,Mai
30-May-22,5,maio,30,segunda-feira,2022,Mai
31-May-22,5,maio,31,terça-feira,2022,Mai
1-Jun-22,6,junho,1,quarta-feira,2022,Jun
2-Jun-22,6,junho,2,quinta-feira,2022,Jun
3-Jun-22,6,junho,3,sexta-feira,2022,Jun
4-Jun-22,6,junho,4,sábado,2022,Jun
5-Jun-22,6,junho,5,domingo,2022,Jun
6-Jun-22,6,junho,6,segunda-feira,2022,Jun
7-Jun-22,6,junho,7,terça-feira,2022,Jun
8-Jun-22,6,junho,8,quarta-feira,2022,Jun
9-Jun-22,6,junho,9,quinta-feira,2022,Jun
10-Jun-22,6,junho,10,sexta-feira,2022,Jun
11-Jun-22,6,junho,11,sábado,2022,Jun
12-Jun-22,6,junho,12,domingo,2022,Jun
13-Jun-22,6,junho,13,segunda-feira,2022,Jun
14-Jun-22,6,junho,14,terça-feira,2022,Jun
15-Jun-22,6,junho,15,quarta-feira,2022,Jun
16-Jun-22,6,junho,16,quinta-feira,2022,Jun
17-Jun-22,6,junho,17,sexta-feira,2022,Jun
18-Jun-22,6,junho,18,sábado,2022,Jun
19-Jun-22,6,junho,19,domingo,2022,Jun
20-Jun-22,6,junho,20,segunda-feira,2022,Jun
21-Jun-22,6,junho,21,terça-feira,2022,Jun
22-Jun-22,6,junho,22,quarta-feira,2022,Jun
23-Jun-22,6,junho,23,quinta-feira,2022,Jun
24-Jun-22,6,junho,24,sexta-feira,2022,Jun
25-Jun-22,6,junho,25,sábado,2022,Jun
26-Jun-22,6,junho,26,domingo,2022,Jun
27-Jun-22,6,junho,27,segunda-feira,2022,Jun
28-Jun-22,6,junho,28,terça-feira,2022,Jun
